representation,word_ngram,char_ngram,model,cv_accuracy,holdout_accuracy,holdout_f1
TAGS_ONLY,"(1, 4)","(3, 7)",Logistic C=10,0.6595129375951293,0.6043956043956044,0.4375
TAGS_ONLY,"(1, 2)","(3, 5)",SVM C=2,0.6594748858447488,0.5934065934065934,0.44776119402985076
CAPTION_TAGS,"(1, 4)","(3, 7)",Logistic C=2,0.6594368340943684,0.6043956043956044,0.4375
WEIGHTED_TEXT,"(1, 1)","(3, 5)",Logistic C=2,0.6593226788432267,0.6043956043956044,0.4
WEIGHTED_TEXT,"(1, 2)","(3, 5)",Logistic C=10,0.6592846270928463,0.5934065934065934,0.4307692307692308
CAPTION_TAGS,"(1, 1)","(3, 5)",Logistic C=2,0.6592846270928462,0.6043956043956044,0.41935483870967744
WEIGHTED_TEXT,"(1, 2)","(3, 5)",Logistic C=5,0.6592465753424658,0.5934065934065934,0.4126984126984127
TAGS_ONLY,"(1, 3)","(3, 6)",SVM C=2,0.6567351598173516,0.6043956043956044,0.45454545454545453
TAGS_ONLY,"(1, 2)","(3, 5)",Logistic C=2,0.6566971080669711,0.5714285714285714,0.36065573770491804
WEIGHTED_TEXT,"(1, 1)","(3, 5)",SVM C=0.1,0.6566210045662102,0.6263736263736264,0.39285714285714285
WEIGHTED_TEXT,"(1, 1)","(3, 5)",Logistic C=1,0.6566210045662102,0.6153846153846154,0.38596491228070173
CAPTION_TAGS,"(1, 1)","(3, 5)",SVM C=0.5,0.6565068493150685,0.6043956043956044,0.47058823529411764
CAPTION_ONLY,"(1, 1)","(3, 5)",SVM C=0.3,0.6565068493150684,0.6153846153846154,0.47761194029850745
CAPTION_ONLY,"(1, 1)","(3, 5)",Logistic C=5,0.6565068493150684,0.6043956043956044,0.45454545454545453
WEIGHTED_TEXT,"(1, 1)","(3, 5)",SVM C=0.5,0.656468797564688,0.6043956043956044,0.4857142857142857
WEIGHTED_TEXT,"(1, 1)","(3, 5)",SVM C=1,0.6564687975646879,0.6263736263736264,0.5277777777777778
CAPTION_ONLY,"(1, 1)","(3, 5)",Logistic C=10,0.6564687975646879,0.6043956043956044,0.47058823529411764
TAGS_ONLY,"(1, 4)","(3, 7)",SVM C=0.3,0.6540334855403348,0.5824175824175825,0.3870967741935484
TAGS_ONLY,"(1, 3)","(3, 6)",Logistic C=2,0.6539954337899543,0.5604395604395604,0.3333333333333333
TAGS_ONLY,"(1, 4)","(3, 7)",Logistic C=2,0.6539954337899543,0.5494505494505495,0.3050847457627119
TAGS_ONLY,"(1, 3)","(3, 6)",SVM C=1,0.6539573820395738,0.6043956043956044,0.4375
TAGS_ONLY,"(1, 3)","(3, 6)",Logistic C=10,0.6539193302891932,0.6043956043956044,0.4375
TAGS_ONLY,"(1, 3)","(3, 6)",SVM C=5,0.6539193302891932,0.5934065934065934,0.44776119402985076
WEIGHTED_TEXT,"(1, 4)","(3, 7)",Logistic C=2,0.6538812785388128,0.6043956043956044,0.4375
CAPTION_ONLY,"(1, 1)","(3, 5)",SVM C=0.5,0.6536910197869101,0.6153846153846154,0.4927536231884058
TAGS_ONLY,"(1, 4)","(3, 7)",Logistic C=5,0.6512176560121766,0.5824175824175825,0.3870967741935484
TAGS_ONLY,"(1, 4)","(3, 7)",SVM C=1,0.6512176560121765,0.6043956043956044,0.45454545454545453
TAGS_ONLY,"(1, 3)","(3, 6)",Logistic C=5,0.6511796042617961,0.5824175824175825,0.3870967741935484
TAGS_ONLY,"(1, 3)","(3, 6)",SVM C=0.5,0.6511415525114155,0.5824175824175825,0.3870967741935484
CAPTION_TAGS,"(1, 1)","(3, 5)",SVM C=0.1,0.6510273972602739,0.6153846153846154,0.38596491228070173
TAGS_ONLY,"(1, 4)","(3, 7)",SVM C=0.5,0.6484018264840183,0.6043956043956044,0.4375
TAGS_ONLY,"(1, 2)","(3, 5)",SVM C=1,0.6484018264840182,0.5824175824175825,0.40625
WEIGHTED_TEXT,"(1, 2)","(3, 5)",Logistic C=1,0.6482496194824962,0.6373626373626373,0.42105263157894735
TAGS_ONLY,"(1, 1)","(3, 5)",SVM C=2,0.6482496194824962,0.6043956043956044,0.45454545454545453
TAGS_ONLY,"(1, 4)","(3, 7)",SVM C=10,0.6457001522070015,0.6153846153846154,0.47761194029850745
TAGS_ONLY,"(1, 3)","(3, 6)",SVM C=0.3,0.645662100456621,0.5824175824175825,0.3870967741935484
TAGS_ONLY,"(1, 2)","(3, 5)",SVM C=0.3,0.6456240487062403,0.5824175824175825,0.3870967741935484
CAPTION_TAGS,"(1, 2)","(3, 5)",Logistic C=1,0.6455859969558599,0.6263736263736264,0.41379310344827586
TAGS_ONLY,"(1, 2)","(3, 5)",SVM C=0.5,0.6455859969558599,0.5824175824175825,0.3870967741935484
TAGS_ONLY,"(1, 2)","(3, 5)",Logistic C=5,0.6455479452054794,0.5934065934065934,0.4126984126984127
